Age,Gender,Location,Device_Type,Time_Spent,Pages_Visited,Product_Category,Previous_Purchases,Avg_Order_Value,Discount,Purchase
56,Male,Bangalore,Desktop,8.375673508,11,Beauty,3,1130.314296,27.66573608,1
46,Female,Pune,Mobile,6.711783377,8,Clothing,2,2095.949667,31.80046148,1
32,Male,Bangalore,Desktop,8.366892509,11,Clothing,3,1975.007914,6.53417799,1
25,Male,Mumbai,Mobile,9.629894087,12,,6,1621.502361,4.172523494,1
38,Male,Delhi,Tablet,8.146580211,8,Electronics,6,733.6497201,5.820619311,1
,Male,Pune,Desktop,8.121775074,11,Groceries,,1401.859674,35.08510248,1
36,,Hyderabad,Tablet,5.894024937,7,Groceries,4,1650.850004,21.12757047,1
40,Male,Mumbai,Mobile,6.011297247,7,Clothing,3,1587.768115,18.69043984,1
28,Male,Bangalore,Desktop,3.792184185,3,Electronics,1,578.1032083,4.268472764,1
28,Female,Mumbai,Mobile,13.24873023,14,Beauty,4,1054.841076,25.98224027,1
41,Male,Pune,Mobile,4.268410294,4,Clothing,3,1467.961118,34.71998368,1
53,Male,Bangalore,Desktop,5.921284407,8,Beauty,4,1768.145455,,1
57,Female,Delhi,Desktop,5.844778203,6,Beauty,2,401.9360895,25.04218836,1
41,Female,Mumbai,Tablet,10.68477313,11,Electronics,2,1418.938012,3.011148666,1
20,Female,Pune,Desktop,7.115150965,10,Groceries,4,,4.495881087,1
39,Male,Hyderabad,,11.74322622,10,Electronics,4,1924.805994,1.972359484,1
19,Female,Bangalore,Mobile,5.979528127,6,Beauty,1,1846.428792,10.29916866,1
41,Male,Mumbai,Desktop,8.836982487,7,Clothing,2,1791.285659,5.426458686,1
47,Male,Mumbai,Mobile,5.49395884,7,Beauty,4,1100.029747,10.40192161,1
55,Male,Delhi,Mobile,14.43544738,20,Clothing,2,545.9989314,15.40232223,1
19,Male,Delhi,Mobile,4.437204743,4,Clothing,3,1303.473621,37.71931136,1
38,Female,Hyderabad,Mobile,8.929462131,12,Electronics,5,2000.815913,24.41504239,1
50,Female,Hyderabad,Mobile,,9,Beauty,2,2196.727264,,1
29,Male,Pune,Mobile,9.241397292,13,Groceries,2,1855.274551,28.41406003,1
39,Male,Pune,Mobile,7.444137023,9,Beauty,2,1714.670411,4.500125221,1
42,Male,Hyderabad,Mobile,7.610537901,10,Beauty,2,1689.819824,29.43681625,1
,Female,Hyderabad,Tablet,,6,Groceries,4,1221.940627,11.00395526,1
59,Male,Bangalore,Mobile,7.558993995,11,Electronics,2,1434.969853,25.56431388,1
45,Male,Delhi,Mobile,10.89163735,14,Beauty,2,2334.534763,13.63847895,1
33,Female,Pune,Desktop,14.631569,14,Beauty,3,1028.720997,39.90689053,1
32,Female,Delhi,Mobile,6.327524645,8,Clothing,2,2307.389395,10.54205918,1
20,Male,Delhi,Tablet,3.890591061,3,Beauty,2,,11.16521883,1
54,Female,Hyderabad,Desktop,7.735153855,10,Groceries,2,2162.716055,37.22689022,1
24,Female,,Mobile,15.73912801,13,Clothing,5,796.5924953,0.985776185,1
38,,Mumbai,Mobile,5.588976296,7,,4,1792.952101,27.86755951,1
26,Female,,Desktop,,,Clothing,4,1131.614932,29.01305563,1
56,Male,Bangalore,Tablet,13.03310244,11,Groceries,4,792.366404,33.4551431,
35,Female,Delhi,Mobile,6.339235275,6,Groceries,4,,38.97757243,1
21,Male,Bangalore,Desktop,9.706949238,7,,4,2004.735894,39.02407677,1
42,Male,Pune,Mobile,12.88518987,14,Electronics,0,1077.529281,,1
31,Male,Delhi,Tablet,6.862616777,6,Clothing,,,32.87357291,1
26,Female,Pune,Mobile,7.38925892,9,Electronics,4,,25.85239735,1
43,Male,Mumbai,Tablet,6.254957258,6,,1,1456.282336,25.89368537,1
19,Female,Delhi,Desktop,4.955729808,5,Groceries,4,1774.159814,5.133997065,1
37,Male,Mumbai,,6.052167365,7,Beauty,1,1974.797286,26.00748666,1
45,Male,Delhi,,,3,Beauty,2,1470.292409,39.29930322,1
24,Female,Hyderabad,Mobile,8.102250405,11,Electronics,2,2427.751657,36.47274278,1
25,Male,,Mobile,5.690080307,7,Electronics,1,1612.117372,17.56522643,1
52,Male,Hyderabad,Mobile,8.701357735,11,,4,1326.786747,,1
31,Female,Mumbai,Mobile,3.332313061,4,Groceries,7,694.2163204,14.4917396,1
34,Male,Bangalore,Desktop,8.992640697,12,Clothing,3,1368.67024,33.05561246,1
53,Male,Delhi,Mobile,10.50058688,9,Groceries,4,1331.806527,28.05996406,1
57,Male,Bangalore,Mobile,2.018793072,1,Beauty,5,1980.152398,18.37374622,1
21,Male,Pune,Tablet,9.12216971,8,Electronics,3,1731.241812,2.204061406,1
19,Female,Bangalore,Desktop,11.68300698,15,Clothing,2,910.3154392,17.07578911,1
23,Female,Pune,Tablet,4.371076944,3,Beauty,3,1586.127193,18.76099759,1
59,Male,Bangalore,Tablet,13.01771716,15,Beauty,2,1835.765586,37.14222132,1
21,Female,Pune,,9.257057028,13,Beauty,2,2264.01568,,1
46,Male,Mumbai,Mobile,29.42482216,8,Groceries,4,1943.751984,12.46611667,
35,Female,,Desktop,7.832692767,9,Electronics,1,1880.423327,21.01273058,1
43,Male,Delhi,Desktop,9.674980738,8,Beauty,,1530.042997,2.642212313,1
51,Male,Bangalore,Mobile,8.228016174,11,Electronics,2,1694.156003,38.90272943,1
27,Male,Hyderabad,Desktop,9.616267977,11,Groceries,3,,14.40239608,1
,Male,Delhi,Mobile,5.237979221,4,Beauty,6,833.6113013,19.1146942,1
31,Male,Delhi,Mobile,,7,Groceries,3,1325.280336,14.21135897,1
48,Male,,Mobile,3.758856509,5,,3,1113.715626,27.3004692,1
,Female,Mumbai,Mobile,7.666321816,9,Electronics,7,1689.576559,26.48928633,1
25,Male,Mumbai,Mobile,5.288277076,7,Beauty,3,2115.111088,28.61289242,1
31,Female,Hyderabad,Mobile,5.793410172,8,Groceries,1,1201.512857,10.72572918,1
40,Male,Mumbai,Desktop,11.70827953,14,Beauty,0,304.8478163,12.62673925,1
57,Female,Bangalore,Mobile,11.27393036,13,Electronics,,1293.889627,5.010049244,1
38,Female,Mumbai,Mobile,9.827414363,10,,1,1956.736866,26.22039887,1
33,Female,Hyderabad,Desktop,4.723061706,4,Electronics,2,1768.814951,1.591885093,1
35,Male,Mumbai,,7.050774651,7,Beauty,1,1714.093124,23.90729342,1
41,Male,,Desktop,11.6392931,15,,3,1360.003349,34.78783539,1
43,Female,Pune,Desktop,8.425150741,10,Electronics,1,860.4846319,35.63328593,1
42,Male,Hyderabad,Desktop,14.95798862,21,Clothing,2,1757.647161,17.96151041,1
58,Female,Pune,Mobile,9.179953518,10,Groceries,4,1082.859095,18.37214753,1
46,Male,Pune,Mobile,8.576147349,10,Beauty,3,2592.048367,3.07876732,1
32,Female,Pune,Mobile,7.072650607,8,Beauty,4,1785.253604,26.83060102,1
18,Female,Delhi,Mobile,8.400622714,10,Groceries,2,1209.675849,32.85037681,1
42,Male,Delhi,Mobile,7.542590491,9,Electronics,2,1194.307376,9.786202184,1
24,Female,Pune,Desktop,10.12432603,9,Electronics,3,1453.527897,16.85203527,1
26,Male,Hyderabad,Mobile,,12,Electronics,1,1380.249039,33.55357347,1
41,Female,Bangalore,Mobile,5.642031618,4,Clothing,2,2058.416888,35.08481871,1
18,Female,Bangalore,Mobile,4.006301139,4,Clothing,4,1593.208085,9.727199211,
25,Male,Mumbai,Desktop,2.491383881,2,Beauty,,1134.184131,22.02282538,1
41,Male,Hyderabad,Mobile,9.523973981,11,Electronics,4,2445.220343,,1
28,Male,Delhi,Desktop,4.689900181,6,Groceries,1,1524.654166,4.075150566,1
34,Female,Pune,Mobile,,1,Beauty,4,1884.419838,36.44482006,1
25,Male,Mumbai,Mobile,9.165735814,,Groceries,4,1195.886746,32.82030017,1
52,Female,Bangalore,Mobile,15.47899855,17,,1,1681.557814,30.40139607,1
,Female,Delhi,Desktop,7.981787265,9,Clothing,5,1655.554996,1.950652753,1
50,Male,Delhi,Mobile,10.51547232,8,Beauty,2,555.175354,33.74915171,1
,Male,Pune,Desktop,8.245488076,8,Clothing,1,2507.637555,,1
59,Female,Bangalore,Mobile,38.5166552,8,Beauty,4,2145.32223,13.69580493,
,Female,Hyderabad,Mobile,10.75722945,12,Electronics,3,1301.402342,21.85905444,1
58,Male,Delhi,Desktop,7.129176367,5,Groceries,3,948.8651298,3.654129709,1
45,Male,Pune,Desktop,8.802176942,7,Electronics,6,1673.780807,30.26586197,1
24,Male,Hyderabad,Desktop,8.965093419,8,Beauty,4,1543.34885,23.29740308,1
26,Male,Bangalore,Desktop,5.995728639,8,Beauty,9,1677.834474,7.463603875,1
25,Male,Delhi,Desktop,10.97612705,11,Beauty,3,1595.788698,7.529287991,1
29,Female,Hyderabad,Desktop,7.47512073,8,Clothing,2,1753.120495,7.369946063,1
51,Female,Hyderabad,Desktop,5.732764522,5,Groceries,3,2223.65285,2.280095502,1
50,Female,Hyderabad,Desktop,9.609529531,11,Groceries,2,1784.051603,23.51193797,1
40,,Delhi,Desktop,5.304596055,,Beauty,5,975.1722505,33.6139271,1
41,Male,Delhi,Desktop,8.084543472,7,Beauty,4,2181.281426,0.699928559,1
54,Male,Mumbai,Desktop,7.97264301,9,Clothing,3,2320.307282,1.960185799,1
52,Male,Bangalore,Mobile,11.2576867,9,Electronics,5,3076.028367,22.91081107,
57,Female,Pune,Desktop,9.424094699,7,Electronics,3,938.2529834,32.77982742,1
39,Female,Hyderabad,Desktop,7.924919124,7,Groceries,1,1621.441007,13.06955562,1
44,Male,Mumbai,Mobile,10.4532989,8,Clothing,3,458.9506484,13.98457595,1
52,Male,Pune,,12.17062265,10,Beauty,7,1776.574578,23.8538599,1
18,Female,Mumbai,Mobile,9.673430919,10,Groceries,3,1225.899851,10.96851556,1
52,Female,Delhi,Mobile,8.03105786,10,Clothing,2,2461.722897,1.064334643,1
54,Male,Hyderabad,Desktop,4.064491303,4,Electronics,5,1112.692515,29.40914072,1
31,,Pune,Mobile,4.804659011,5,Clothing,2,655.408481,25.02599652,
20,Female,Pune,Desktop,7.084325887,7,Electronics,4,1264.36813,23.23023996,1
,Male,Pune,Desktop,6.171463394,8,Clothing,,512.2561144,29.66736516,
22,Male,Pune,Mobile,7.439086091,8,Groceries,3,1875.549727,27.0092335,1
43,,Pune,Mobile,8.169949775,,Electronics,8,467.4584769,8.235279527,1
31,Female,Mumbai,Mobile,47.94539132,11,Groceries,3,1514.228791,14.09924188,1
56,Female,Hyderabad,Desktop,7.788503666,6,Groceries,5,461.0940901,5.044405667,1
44,Female,Delhi,Tablet,9.459504931,9,Electronics,6,1339.851098,5.194280537,
26,Female,Delhi,Desktop,8.193423244,9,Electronics,5,2321.689078,27.04782985,1
32,Female,Delhi,Mobile,2.073600301,2,Beauty,4,1680.323946,34.34400428,1
32,Female,Delhi,Desktop,5.181993819,5,,3,1068.253198,38.50930335,1
43,Female,Mumbai,Mobile,7.567737333,9,Beauty,4,1484.398256,25.1338847,1
